% time  amplitude  freq   approx.island width[cm] (CATS)
59.2049  4.49256e-06  12.5732  0.6122221
59.2131  4.63084e-06  12.6343  0.6215636
59.2213  6.22682e-06  12.6953  0.7207458
59.2295  4.04458e-06  13.0005  0.5808696
59.2377  3.66077e-06  12.5732  0.5526126
59.2459  4.2204e-06  12.207  0.5933401
59.2541  3.93026e-06  11.8408  0.5725713
59.2623  3.96983e-06  11.6577  0.5754357
59.2705  4.24517e-06  12.207  0.5950453
59.2787  5.18591e-06  12.207  0.6576676
59.2869  3.75e-06  12.207  0.5592436
59.2951  3.60822e-06  12.7563  0.5485588
59.3033  3.62327e-06  13.0005  0.5496905
59.3115  2.02185e-05  12.6953  1.298475
59.3197  0.000182158  12.3291  3.897394
59.3279  0.00024552  12.6343  4.524649
59.3361  0.000243285  12.8174  4.503917
59.3443  0.000250838  12.6343  4.573206
59.3525  0.000225145  12.6953  4.332581
59.3607  0.000280522  12.207  4.836049
59.3689  0.00023647  12.3291  4.440042
59.377  0.000285743  12.146  4.880665
59.3852  0.000307436  11.9629  5.062451
59.3934  0.000308936  12.0239  5.074699
59.4016  0.000290492  11.9629  4.920803
59.4098  0.000301163  12.0239  5.010289
59.418  0.00031174  12.0239  5.097434
59.4262  0.000315959  12.085  5.131738
59.4344  0.000359297  12.085  5.4723
59.4426  0.000387159  12.2681  5.680441
59.4508  0.000398059  12.7563  5.759779
59.459  0.000406747  12.8784  5.822228
59.4672  0.000337437  12.6343  5.302965
59.4754  0.00030253  12.3291  5.02114
59.4836  0.000295221  12.3901  4.96007
59.4918  0.000410899  12.3291  5.851648
59.5  0.000365287  12.0239  5.517274
59.5082  0.000436593  12.146  6.031746
59.5164  0.000438617  12.146  6.045679
59.5246  0.000453679  12.085  6.148579
59.5328  0.000481326  12.085  6.333132
59.541  0.000508381  12.2681  6.508673
59.5492  0.000483661  12.5732  6.34845
59.5574  0.000459755  12.5122  6.189566
59.5656  0.000447493  12.4512  6.106472
59.5738  0.000442535  12.5122  6.072561
59.582  0.000492964  12.4512  6.409245
59.5902  0.000464306  12.3901  6.220183
59.5984  0.000468505  12.3291  6.248279
59.6066  0.000550841  12.3901  6.775154
59.6148  0.000504091  12.4512  6.481325
59.623  0.000502441  12.5122  6.470766
59.6311  0.00053562  12.5732  6.681068
59.6393  0.000516388  12.5732  6.5601
59.6475  0.000518274  12.5732  6.57215
59.6557  0.000538386  12.5732  6.698544
59.6639  0.000530725  12.5732  6.65081
59.6721  0.000558195  12.2681  6.820863
59.6803  0.000539033  12.207  6.702872
59.6885  0.000642734  12.0239  7.31941
59.6967  0.000610639  11.9019  7.134445
59.7049  0.000599642  11.6577  7.070036
59.7131  0.000636328  11.5356  7.283229
59.7213  0.000688976  11.4136  7.578679
59.7295  0.000649204  11.2915  7.356821
59.7377  0.000637528  11.1694  7.290502
59.7459  0.000647728  11.1084  7.348731
59.7541  0.000692863  11.0474  7.600601
59.7623  0.000692661  10.9253  7.599636
59.7705  0.00075918  10.8032  7.956331
59.7787  0.000708556  10.6812  7.686622
59.7869  0.000667119  10.5591  7.45861
59.7951  0.000697259  10.5591  7.625371
59.8033  0.000688528  10.498  7.577607
59.8115  0.000736506  10.3149  7.837301
59.8197  0.000693985  10.2539  7.607821
59.8279  0.000795234  10.1929  8.144026
59.8361  0.000710214  10.0098  7.696484
59.8443  0.00076685  9.82666  7.997581
59.8525  0.000737149  9.76562  7.841268
59.8607  0.000700415  9.58252  7.643479
59.8689  0.000809145  9.46045  8.215439
59.877  0.000732743  9.0332  7.818024
59.8852  0.000822636  8.91113  8.283771
59.8934  0.000544458  9.33838  6.739209
59.9016  0.000622882  9.15527  7.208279
59.9098  0.000648355  9.15527  7.35422
59.918  0.000716389  9.15527  7.730466
59.9262  0.000625288  9.0332  7.222239
59.9344  0.000636299  9.0332  7.285555
59.9426  0.000621738  8.97217  7.201709
59.9508  0.000644624  8.97217  7.333049
59.959  0.000646842  8.97217  7.34564
